Del_APP	delta0	nC_APP	p_APP
0	0	9	0.0264430641387372
0.01	0	9	0.0264182200607601
0.02	0	9	0.0263933916020773
0.03	0	9	0.0263685787635268
0.04	0	9	0.0263437815459291
0.05	0	9	0.0263189999500874
0.06	0	9	0.0262942339767873
0.07	0	9	0.0262694836267973
0.08	0	9	0.0262447489008684
0.09	0	9	0.0262200297997343
0.1	0	9	0.0261953263241115
0.11	0	9	0.0261706384746989
0.12	0	9	0.0261459662521785
0.13	0	9	0.0261213096572149
0.14	0	9	0.0260973986404925
0.15	0	9	0.026073541190234
0.16	0	9	0.0260608216180684
0.17	0	9	0.0260687067008976
0.18	0	9	0.0260765913706757
0.19	0	9	0.0260581135142954
0.2	0	9	0.0260583592897148
0.21	0	9	0.0260581768798814
0.22	0	9	0.0260582939922148
0.23	0	9	0.0260581099698588
0.24	0	9	0.0260582481994555
0.25	0	9	0.0260583127945661
0.26	0	9	0.0260580695375031
0.27	0	9	0.0260559110404317
0.28	0	9	0.0260291772032296
0.29	0	9	0.0260314562306382
0.3	0	9	0.0260398948474558
0.31	0	9	0.0260484050676219
0.32	0	9	0.0260569141544891
0.33	0	9	0.0260654220981072
0.34	0	9	0.0260249662044689
0.35	0	9	0.0260249529405598
0.36	0	9	0.0260250765906043
0.37	0	9	0.0260140540801941
0.38	0	9	0.0260097248307116
0.39	0	9	0.0259873633809447
0.4	0	9	0.0259650216391531
0.41	0	9	0.0259426995913172
0.42	0	9	0.0259203972234231
0.43	0	9	0.0258981145214633
0.44	0	9	0.0258758514714357
0.45	0	9	0.0258536080593443
0.46	0	9	0.0258313842711992
0.47	0	9	0.0258091800930161
0.48	0	9	0.0257878925238469
0.49	0	9	0.0257666321630344
0.5	0	9	0.0257672748552727
0.51	0	9	0.0257755444444594
0.52	0	9	0.0257838197964885
0.53	0	9	0.0257921009108947
0.54	0	9	0.0258003877872045
0.55	0	9	0.0258086804249375
0.56	0	9	0.0257996121675302
0.57	0	9	0.0257727473299575
0.58	0	9	0.0257459047576313
0.59	0	9	0.0257190844397594
0.6	0	9	0.0256922863655449
0.61	0	9	0.0256655105241856
0.62	0	9	0.0256387569048747
0.63	0	9	0.0256120254968004
