Del_FPP	alpha0	nC_FPP	p_FPP
0	1	7	0.0378761052819078
0.01	1	7	0.0378248449019641
0.02	1	7	0.0377736411525111
0.03	1	7	0.0377224939907877
0.04	1	7	0.0376714033740358
0.05	1	7	0.0376203692595012
0.06	1	7	0.037569391604433
0.07	1	7	0.0375184703660841
0.08	1	7	0.0374676055017109
0.09	1	7	0.0374167969685735
0.1	1	7	0.0373660447239358
0.11	1	7	0.0373153487250656
0.12	1	7	0.0372647089292342
0.13	1	7	0.0372141252937171
0.14	1	7	0.0371635977757935
0.15	1	7	0.0371131263327468
0.16	1	7	0.0370627109218642
0.17	1	7	0.037012351500437
0.18	1	7	0.0369620480257606
0.19	1	7	0.0369118004551347
0.2	1	7	0.036861608745863
0.21	1	7	0.0368114728552534
0.22	1	7	0.0367613927406184
0.23	1	7	0.0367113683592745
0.24	1	7	0.0366613996685427
0.25	1	7	0.0366114866257483
0.26	1	7	0.0365616291882213
0.27	1	7	0.0365118273132961
0.28	1	7	0.0364620809583114
0.29	1	7	0.0364123900806109
0.3	1	7	0.0363627546375427
0.31	1	7	0.0363131745864595
0.32	1	7	0.0362636498847191
0.33	1	7	0.0362141804896836
0.34	1	7	0.0361647663587202
0.35	1	7	0.036115407449201
0.36	1	7	0.0360661037185028
0.37	1	7	0.0360168551240075
0.38	1	7	0.0359676616231019
0.39	1	7	0.0359185231731779
0.4	1	7	0.0358694397316324
0.41	1	7	0.0358204112558676
0.42	1	7	0.0357714377032907
0.43	1	7	0.035722519031314
0.44	1	7	0.0356736551973554
0.45	1	7	0.0356248461588379
0.46	1	7	0.0355760918731897
0.47	1	7	0.0355273922978447
0.48	1	7	0.0354787473902419
0.49	1	7	0.0354301571078261
0.5	1	7	0.0353816214080472
0.51	1	7	0.0353331402483612
0.52	1	7	0.0352847135862291
0.53	1	7	0.0352363413791181
0.54	1	7	0.0351880235845006
0.55	1	7	0.0351397601598552
0.56	1	7	0.0350915510626658
0.57	1	7	0.0350433962504225
0.58	1	7	0.0349952956806211
0.59	1	7	0.0349472493107632
0.6	1	7	0.0348992570983565
0.61	1	7	0.0348513190009147
0.62	1	7	0.0348034349759574
0.63	1	7	0.0347556049810103
0.64	1	7	0.0347078289736053
0.65	1	7	0.0346601069112804
0.66	1	7	0.0346124387515798
0.67	1	7	0.034564824452054
0.68	1	7	0.0345172639702596
0.69	1	7	0.0344697572637597
0.7	1	7	0.0344223042901238
0.71	1	7	0.0343749050069277
0.72	1	7	0.0343275593717536
0.73	1	7	0.0342802673421903
0.74	1	7	0.0342330288758331
0.75	1	7	0.0341858439302839
0.76	1	7	0.0341387124631513
0.77	1	7	0.0340916344320503
0.78	1	7	0.0340446097946028
0.79	1	7	0.0339976385084375
0.8	1	7	0.0339507205311898
0.81	1	7	0.0339038558205018
0.82	1	7	0.0338570443340226
0.82	1	8	0.0337270217740352
0.83	1	8	0.0336806521225443
0.84	1	8	0.0336343349461566
0.85	1	8	0.0335880702032143
0.86	1	8	0.033541857852067
0.87	1	8	0.0334956978510711
0.88	1	8	0.0334495901585901
0.89	1	8	0.0334035347329947
0.9	1	8	0.0333575315326627
0.91	1	8	0.0333115805159792
0.92	1	8	0.0332656816413363
0.93	1	8	0.0332198348671336
0.94	1	8	0.033174040151778
0.95	1	8	0.0331282974536836
0.96	1	8	0.0330826067312721
0.97	1	8	0.0330369679429725
0.98	1	8	0.0329913810472213
0.99	1	8	0.0329458460024627
1	1	8	0.032900362767148
1.01	1	8	0.0328549312997366
1.02	1	8	0.0328095515586952
1.03	1	8	0.0327642235024983
1.04	1	8	0.0327189470896282
1.05	1	8	0.0326737222785747
1.06	1	8	0.0326285490278357
1.07	1	8	0.0325834272959165
1.08	1	8	0.0325383570413308
1.09	1	8	0.0324933382225997
1.1	1	8	0.0324483707982527
1.11	1	8	0.0324034547268268
1.12	1	8	0.0323585899668675
1.13	1	8	0.032313776476928
1.14	1	8	0.0322690142155698
1.15	1	8	0.0322243031413624
1.16	1	8	0.0321796432128835
1.17	1	8	0.0321350343887192
1.18	1	8	0.0320904766274636
1.19	1	8	0.0320459698877192
1.2	1	8	0.0320015141280969
1.21	1	8	0.0319571093072157
1.22	1	8	0.0319127553837033
1.23	1	8	0.0318684523161957
1.24	1	8	0.0318242000633374
1.25	1	8	0.0317799985837815
1.26	1	8	0.0317358478361894
1.27	1	8	0.0316917477792313
1.28	1	8	0.0316476983715861
1.29	1	8	0.0316036995719412
1.3	1	8	0.0315597513389927
1.31	1	8	0.0315158536314456
1.32	1	8	0.0314720064080135
1.33	1	8	0.0314282096274189
1.34	1	8	0.0313844632483931
1.35	1	8	0.0313407672296765
1.36	1	8	0.0312971215300182
1.37	1	8	0.0312535261081762
1.38	1	8	0.0312099809229178
1.39	1	8	0.0311664859330191
1.4	1	8	0.0311230410972653
1.41	1	8	0.0310796463744509
1.42	1	8	0.0310363017233793
1.43	1	8	0.0309930071028631
1.44	1	8	0.0309497624717245
1.45	1	8	0.0309065677887944
1.46	1	8	0.0308634230129135
1.47	1	8	0.0308203281029314
1.48	1	8	0.0307772830177075
1.49	1	8	0.0307342877161101
1.5	1	8	0.0306913421570175
1.51	1	8	0.0306484462993171
1.52	1	8	0.0306056001019059
1.53	1	8	0.0305628035236904
1.54	1	8	0.0305200565235869
1.55	1	8	0.0304773590605211
1.56	1	8	0.0304347110934284
1.57	1	8	0.030392112581254
1.58	1	8	0.0303495634829528
1.59	1	8	0.0303070637574893
1.6	1	8	0.0302646133638381
1.61	1	8	0.0302222122609833
1.62	1	8	0.0301798604079192
1.63	1	8	0.0301375577636498
1.64	1	8	0.0300953042871891
1.65	1	8	0.030053099937561
1.66	1	8	0.0300109446737997
1.67	1	8	0.029968838454949
1.68	1	8	0.0299267812400632
1.69	1	8	0.0298847729882066
1.7	1	8	0.0298428136584535
1.71	1	8	0.0298009032098886
1.72	1	8	0.0297590416016066
1.73	1	8	0.0297172287927128
1.74	1	8	0.0296754647423224
1.75	1	8	0.0296337494095614
1.76	1	8	0.0295920827535656
1.77	1	8	0.0295504647334817
1.78	1	8	0.0295088953084666
1.79	1	8	0.0294673744376877
1.8	1	8	0.029425902080323
1.81	1	8	0.0293844781955608
1.82	1	8	0.0293431027426003
1.83	1	8	0.0293017756806511
1.84	1	8	0.0292604969689334
1.85	1	8	0.0292192665666783
1.86	1	8	0.0291780844331275
1.87	1	8	0.0291369505275333
1.88	1	8	0.0290958648091591
1.89	1	8	0.0290548272372788
1.9	1	8	0.0290138377711774
1.91	1	8	0.0289728963701506
1.92	1	8	0.0289320029935051
1.93	1	8	0.0288911576005585
1.94	1	8	0.0288503601506395
1.95	1	8	0.0288096106030878
1.96	1	8	0.028768908917254
1.97	1	8	0.0287282550524999
1.98	1	8	0.0286876489681985
1.99	1	8	0.0286470906237338
2	1	8	0.0286065799785011
2.01	1	8	0.0285661169919069
2.02	1	8	0.0285257016233688
2.03	1	8	0.028485333832316
2.04	1	8	0.0284450135781888
2.05	1	8	0.0284047408204389
2.06	1	8	0.0283645155185293
2.07	1	8	0.0283243376319347
2.08	1	8	0.0282842071201409
2.09	1	8	0.0282441239426455
2.1	1	8	0.0282040880589574
2.11	1	8	0.0281640994285971
2.12	1	8	0.0281241580110968
2.13	1	8	0.0280842637660002
2.14	1	8	0.0280444166528627
2.15	1	8	0.0280046166312514
2.16	1	8	0.0279648636607451
2.17	1	8	0.0279251577009343
2.18	1	8	0.0278854987114213
2.19	1	8	0.0278458866518204
2.2	1	8	0.0278063214817575
2.21	1	8	0.0277668031608704
2.22	1	8	0.027727331648809
2.23	1	8	0.027687906905235
2.24	1	8	0.0276485288898221
2.25	1	8	0.027609197562256
2.26	1	8	0.0275699128822345
2.27	1	8	0.0275306748094674
2.28	1	8	0.0274914833036767
2.29	1	8	0.0274523383245963
2.3	1	8	0.0274132398319727
2.31	1	8	0.0273741877855641
2.32	1	8	0.0273351821451413
2.33	1	8	0.0272962228704873
2.34	1	8	0.0272573099213972
2.35	1	8	0.0272184432576786
2.36	1	8	0.0271796228391515
2.37	1	8	0.0271408486256481
2.38	1	8	0.0271021205770132
2.39	1	8	0.027063438653104
2.4	1	8	0.0270248028137901
2.41	1	8	0.0269862130189538
2.42	1	8	0.0269476692284898
2.43	1	8	0.0269091714023053
2.44	1	8	0.0268707195003203
2.45	1	8	0.0268323134824674
2.46	1	8	0.0267939533086918
2.47	1	8	0.0267556389389514
2.48	1	8	0.0267173703332169
2.49	1	8	0.0266791474514718
2.5	1	8	0.0266409702537122
2.51	1	8	0.0266028386999471
2.52	1	8	0.0265647527501986
2.53	1	8	0.0265267123645013
2.54	1	8	0.0264887175029031
2.55	1	8	0.0264507681254645
2.56	1	8	0.0264128641922591
2.57	1	8	0.0263750056633737
2.58	1	8	0.0263371924989078
2.59	1	8	0.0262994246589743
2.6	1	8	0.026261702103699
2.61	1	8	0.0262240247932208
2.62	1	8	0.0261863926876918
2.63	1	8	0.0261488057472775
2.64	1	8	0.0261112639321562
2.65	1	8	0.0260737672025199
2.66	1	8	0.0260363155185735
2.67	1	8	0.0259989088405354
2.68	1	8	0.0259615471286374
2.69	1	8	0.0259242303431245
2.7	1	8	0.0258869584442552
2.71	1	8	0.0258497313923013
2.72	1	8	0.0258125491475483
2.73	1	8	0.0257754116702949
2.74	1	8	0.0257383189208536
2.75	1	8	0.0257012708595502
2.76	1	8	0.0256642674467241
2.77	1	8	0.0256273086427285
2.78	1	8	0.0255903944079301
2.79	1	8	0.0255535247027092
2.8	1	8	0.0255166994874598
2.81	1	8	0.0254799187225899
2.82	1	8	0.0254431823685207
2.83	1	8	0.0254064903856878
2.84	1	8	0.0253698427345401
2.85	1	8	0.0253332393755405
2.86	1	8	0.025296680269166
2.87	1	8	0.0252601653759072
2.88	1	8	0.0252236946562687
2.89	1	8	0.025187268070769
2.9	1	8	0.0251508855799407
2.91	1	8	0.0251145471443303
2.92	1	8	0.0250782527244984
2.93	1	8	0.0250420022810197
2.94	1	8	0.0250057957744828
2.95	1	8	0.0249696331654906
2.96	1	8	0.0249335144146601
2.97	1	8	0.0248974394826225
2.98	1	8	0.0248614083300231
2.99	1	8	0.0248254209175215
3	1	8	0.0247894772057916
3.01	1	8	0.0247535771555216
3.02	1	8	0.0247177207274138
3.03	1	8	0.0246819078821852
3.04	1	8	0.0246461385805668
3.05	1	8	0.0246104127833042
3.06	1	8	0.0245747304511575
3.07	1	8	0.024539091544901
3.08	1	8	0.0245034960253237
3.09	1	8	0.0244679438532291
3.1	1	8	0.0244324349894351
3.11	1	8	0.0243969693947742
3.12	1	8	0.0243615470300935
3.12	1	9	0.0243061560597547
3.13	1	9	0.0242710259548913
3.14	1	9	0.0242359384985975
3.15	1	9	0.0242008936523872
3.16	1	9	0.0241658913777888
3.17	1	9	0.0241309316363453
3.18	1	9	0.0240960143896139
3.19	1	9	0.0240611395991665
3.2	1	9	0.0240263072265895
3.21	1	9	0.0239915172334839
3.22	1	9	0.0239567695814653
3.23	1	9	0.0239220642321637
3.24	1	9	0.0238874011472242
3.25	1	9	0.0238527802883062
3.26	1	9	0.0238182016170839
3.27	1	9	0.0237836650952462
3.28	1	9	0.0237491706844968
3.29	1	9	0.0237147183465542
3.3	1	9	0.0236803080431516
3.31	1	9	0.0236459397360372
3.32	1	9	0.0236116133869738
3.33	1	9	0.0235773289577393
3.34	1	9	0.0235430864101265
3.35	1	9	0.0235088857059428
3.36	1	9	0.023474726807011
3.37	1	9	0.0234406096751686
3.38	1	9	0.0234065342722682
3.39	1	9	0.0233725005601774
3.4	1	9	0.0233385085007789
3.41	1	9	0.0233045580559704
3.42	1	9	0.0232706491876647
3.43	1	9	0.0232367818577898
3.44	1	9	0.0232029560282888
3.45	1	9	0.0231691716611201
3.46	1	9	0.0231354287182571
3.47	1	9	0.0231017271616886
3.48	1	9	0.0230680669534184
3.49	1	9	0.023034448055466
3.5	1	9	0.0230008704298658
3.51	1	9	0.0229673340386677
3.52	1	9	0.0229338388439369
3.53	1	9	0.0229003848077541
3.54	1	9	0.0228669718922151
3.55	1	9	0.0228336000594316
3.56	1	9	0.0228002692715302
3.57	1	9	0.0227669794906533
3.58	1	9	0.0227337306789588
3.59	1	9	0.02270052279862
3.6	1	9	0.0226673558118258
3.61	1	9	0.0226342296807806
3.62	1	9	0.0226011443677045
3.63	1	9	0.022568099834833
3.64	1	9	0.0225350960444176
3.65	1	9	0.022502132958725
3.66	1	9	0.0224692105400381
3.67	1	9	0.022436328750655
3.68	1	9	0.02240348755289
3.69	1	9	0.0223706869090727
3.7	1	9	0.0223379267815488
3.71	1	9	0.0223052071326797
3.72	1	9	0.0222725279248426
3.73	1	9	0.0222398891204306
3.74	1	9	0.0222072906818526
3.75	1	9	0.0221747325715334
3.76	1	9	0.0221422147519139
3.77	1	9	0.0221097371854506
3.78	1	9	0.0220772998346163
3.79	1	9	0.0220449026618996
3.8	1	9	0.0220125456298052
3.81	1	9	0.0219802287008536
3.82	1	9	0.0219479518375817
3.83	1	9	0.0219157150025422
3.84	1	9	0.0218835181583041
3.85	1	9	0.0218513612674524
3.86	1	9	0.0218192442925883
3.87	1	9	0.021787167196329
3.88	1	9	0.0217551299413082
3.89	1	9	0.0217231324901756
3.9	1	9	0.0216911748055971
3.91	1	9	0.021659256850255
3.92	1	9	0.0216273785868477
3.93	1	9	0.0215955399780902
3.94	1	9	0.0215637409867136
3.95	1	9	0.0215319815754652
3.96	1	9	0.021500261707109
3.97	1	9	0.0214685813444252
3.98	1	9	0.0214369404502105
3.99	1	9	0.0214053389872778
4	1	9	0.0213737769184568
4.01	1	9	0.0213422542065935
4.02	1	9	0.0213107708145503
4.03	1	9	0.0212793267052064
4.04	1	9	0.0212479218414571
4.05	1	9	0.0212165561862148
4.06	1	9	0.0211852297024081
4.07	1	9	0.0211539423529822
4.08	1	9	0.0211226941008993
4.09	1	9	0.0210914849091378
4.1	1	9	0.021060314740693
4.11	1	9	0.0210291835585769
4.12	1	9	0.0209980913258181
4.13	1	9	0.0209670380054621
4.14	1	9	0.0209360235605709
4.15	1	9	0.0209050479542236
4.16	1	9	0.0208741111495158
4.17	1	9	0.0208432131095601
4.18	1	9	0.0208123537974859
4.19	1	9	0.0207815331764394
4.2	1	9	0.0207507512095837
4.21	1	9	0.0207200078600989
4.22	1	9	0.0206893030911819
4.23	1	9	0.0206586368660465
4.24	1	9	0.0206280091479236
4.25	1	9	0.0205974199000611
4.26	1	9	0.0205668690857238
4.27	1	9	0.0205363566681934
4.28	1	9	0.020505882610769
4.29	1	9	0.0204754468767665
4.3	1	9	0.0204450494295188
4.31	1	9	0.0204146902323763
4.32	1	9	0.020384369248706
4.33	1	9	0.0203540864418926
4.34	1	9	0.0203238417753375
4.35	1	9	0.0202936352124596
4.36	1	9	0.0202634667166947
4.37	1	9	0.0202333362514961
4.38	1	9	0.0202032437803342
4.39	1	9	0.0201731892666968
4.4	1	9	0.0201431726740889
4.41	1	9	0.0201131939660326
4.42	1	9	0.0200832531060677
4.43	1	9	0.0200533500577512
4.44	1	9	0.0200234847846573
4.45	1	9	0.0199936572503777
4.46	1	9	0.0199638674185215
4.47	1	9	0.0199341152527154
4.48	1	9	0.0199044007166032
4.49	1	9	0.0198747237738464
4.5	1	9	0.0198450843881239
4.51	1	9	0.0198154825231321
4.52	1	9	0.0197859181425849
4.53	1	9	0.0197563912102138
4.54	1	9	0.0197269016897677
4.55	1	9	0.0196974495450134
4.56	1	9	0.0196680347397349
4.57	1	9	0.0196386572377341
4.58	1	9	0.0196093170028303
4.59	1	9	0.0195800139988607
4.6	1	9	0.01955074818968
4.61	1	9	0.0195215195391606
4.62	1	9	0.0194923280111927
4.63	1	9	0.0194631735696841
4.64	1	9	0.0194340561785604
4.65	1	9	0.0194049758017649
4.66	1	9	0.0193759324032589
4.67	1	9	0.0193469259470213
4.68	1	9	0.0193179563970487
4.69	1	9	0.0192890237173559
4.7	1	9	0.0192601278719752
4.71	1	9	0.019231268824957
4.72	1	9	0.0192024465403694
4.73	1	9	0.0191736609822986
4.74	1	9	0.0191449121148486
4.75	1	9	0.0191161999021414
4.76	1	9	0.0190875243083168
4.77	1	9	0.019058885297533
