Del_MAP	psi	nC_MAP	p_MAP
0	0.001	7	0.0301589452155497
0.01	0.001	7	0.030132119155097
0.02	0.001	7	0.0301053128792613
0.03	0.001	7	0.0300785263775817
0.04	0.001	7	0.0300517596395986
0.05	0.001	7	0.0300250126548543
0.06	0.001	7	0.0299982854128925
0.07	0.001	7	0.0299715779032588
0.08	0.001	7	0.0299448901155003
0.09	0.001	7	0.0299182220391655
0.1	0.001	7	0.029891573663805
0.11	0.001	7	0.0298649449789707
0.12	0.001	7	0.0298383359742162
0.13	0.001	7	0.029811746639097
0.14	0.001	7	0.0297851769631699
0.15	0.001	7	0.0297586269359936
0.16	0.001	7	0.0297320965471284
0.17	0.001	7	0.0297055857861363
0.18	0.001	7	0.0296790946425808
0.19	0.001	7	0.0296526231060274
0.2	0.001	7	0.029626171166043
0.21	0.001	7	0.0295997388121962
0.22	0.001	7	0.0295733260340575
0.23	0.001	7	0.0295469328211988
0.24	0.001	7	0.0295205591631939
0.25	0.001	7	0.0294942050496183
0.26	0.001	7	0.0294678704700491
0.27	0.001	7	0.0294415554140651
0.28	0.001	7	0.0294152598712469
0.29	0.001	7	0.0293889838311767
0.3	0.001	7	0.0293627272834386
0.31	0.001	7	0.0293364902176181
0.32	0.001	7	0.0293102726233027
0.33	0.001	7	0.0292840744900816
0.34	0.001	7	0.0292578958075456
0.35	0.001	7	0.0292317365652873
0.36	0.001	7	0.029205596752901
0.37	0.001	7	0.0291794763599829
0.38	0.001	7	0.0291533753761306
0.39	0.001	7	0.0291272937909439
0.4	0.001	7	0.029101231594024
0.41	0.001	7	0.0290751887749739
0.42	0.001	7	0.0290491653233985
0.43	0.001	7	0.0290231612289043
0.44	0.001	7	0.0289971764810998
0.45	0.001	7	0.028971211069595
0.46	0.001	7	0.0289452649840017
0.47	0.001	7	0.0289193382139337
0.48	0.001	7	0.0288934307490064
0.49	0.001	7	0.028867542578837
0.5	0.001	7	0.0288416736930445
0.51	0.001	7	0.0288158240812497
0.52	0.001	7	0.0287899937330751
0.53	0.001	7	0.0287641826381451
0.54	0.001	7	0.028738390786086
0.55	0.001	7	0.0287126181665256
0.56	0.001	7	0.0286868647690938
0.57	0.001	7	0.0286611305834221
0.58	0.001	7	0.0286354155991439
0.59	0.001	7	0.0286097198058945
0.6	0.001	7	0.0285840431933109
0.61	0.001	7	0.0285583857510319
0.62	0.001	7	0.0285327474686982
0.63	0.001	7	0.0285071283359523
0.64	0.001	7	0.0284815283424387
0.65	0.001	7	0.0284559474778034
0.66	0.001	7	0.0284303857316944
0.67	0.001	7	0.0284048430937617
0.68	0.001	7	0.0283793195536569
0.69	0.001	7	0.0283538151010337
0.7	0.001	7	0.0283283297255473
0.71	0.001	7	0.0283028634168551
0.72	0.001	7	0.0282774161646163
