w	res
0.41	-0.000822906145402036
0.41	0.000162093854597867
0.41	0.000162093854597867
0.41	-0.000443906145402129
0.41	0.00147509385459788
0.41	0.00143009385459791
0.41	0.00118709385459792
0.41	0.00181309385459794
0.41	0.00140809385459795
0.41	0.00202709385459787
0.42	-0.000827906145402069
0.42	9.80938545979138e-05
0.42	5.3093854597952e-05
0.42	-0.000559906145402134
0.42	0.00144809385459788
0.42	0.00132709385459795
0.42	0.00108409385459796
0.42	0.00169009385459795
0.42	0.00134009385459788
0.42	0.00194109385459795
0.43	-0.000902906145402116
0.43	7.10938545979145e-05
0.43	-0.000142906145402133
0.43	-0.000618906145402054
0.43	0.00136209385459796
0.43	0.00121109385459794
0.43	0.000894093854597933
0.43	0.00155209385459787
0.43	0.00126109385459794
0.43	0.00180209385459795
0.44	-0.000983906145402114
0.44	2.9093854597928e-05
0.44	-0.00029690614540212
0.44	-0.000768906145402037
0.44	0.00122609385459793
0.44	0.00114909385459794
0.44	0.000813093854597935
0.44	0.00137109385459788
0.44	0.00113409385459795
0.44	0.00167709385459791
0.45	-0.00120790614540212
0.45	-1.79061454020912e-05
0.45	-0.000391906145402077
0.45	-0.000878906145402092
0.45	0.00114509385459793
0.45	0.00108009385459795
0.45	0.000689093854597922
0.45	0.00124009385459789
0.45	0.00105009385459787
0.45	0.00162909385459797
0.46	-0.00140390614540209
0.46	-0.000125906145402088
0.46	-0.000539906145402114
0.46	-0.000936906145402094
0.46	0.00104909385459795
0.46	0.00101909385459797
0.46	0.000654093854597915
0.46	0.00115409385459797
0.46	0.000973093854597873
0.46	0.00152909385459787
0.47	-0.00152590614540205
0.47	-0.000269906145402121
0.47	-0.000552906145402043
0.47	-0.00111690614540205
0.47	0.000893093854597904
0.47	0.000940093854597923
0.47	0.000603093854597891
0.47	0.00108709385459793
0.47	0.000861093854597872
0.47	0.00143009385459791
0.48	-0.00173690614540212
0.48	-0.00040290614540206
0.48	-0.000632906145402123
0.48	-0.00121390614540207
0.48	0.00077009385459792
0.48	0.000855093854597921
0.48	0.000464093854597891
0.48	0.000948093854597931
0.48	0.000787093854597964
0.48	0.00134709385459797
0.49	-0.00189290614540205
0.49	-0.000487906145402062
0.49	-0.000772906145402041
0.49	-0.00133390614540208
0.49	0.000582093854597954
0.49	0.000700093854597905
0.49	0.000324093854597973
0.49	0.00074309385459792
0.49	0.000583093854597871
0.49	0.00113809385459795
0.5	-0.00202390614540204
0.5	-0.000595906145402059
0.5	-0.000873906145402059
0.5	-0.00154390614540212
0.5	0.000413093854597868
0.5	0.000608093854597924
0.5	0.000219093854597951
0.5	0.000645093854597878
0.5	0.000402093854597885
0.5	0.00103909385459788
0.51	-0.00213990614540205
0.51	-0.000725906145402133
0.51	-0.00100090614540205
0.51	-0.00158790614540205
0.51	0.000312093854597961
0.51	0.000517093854597972
0.51	0.000148093854597908
0.51	0.000580093854597896
0.51	0.000275093854597896
0.51	0.000967093854597922
0.52	-0.00222090614540205
0.52	-0.000915906145402046
0.52	-0.00107590614540209
0.52	-0.0018019061454021
0.52	0.000208093854597968
0.52	0.000380093854597918
0.52	4.60938545979728e-05
0.52	0.000431093854597941
0.52	0.000116093854597876
0.52	0.000841093854597963
0.53	-0.00230090614540213
0.53	-0.00101790614540209
0.53	-0.00117190614540208
0.53	-0.00189890614540211
0.53	0.000129093854597917
0.53	0.000265093854597942
0.53	-8.19061454020442e-05
0.53	0.000363093854597873
0.53	2.40938545978953e-05
0.53	0.000650093854597911
0.54	-0.00242290614540208
0.54	-0.00112990614540209
0.54	-0.00129690614540212
0.54	-0.00196690614540207
0.54	9.38545978712568e-08
0.54	7.50938545979185e-05
0.54	-0.000220906145402044
0.54	0.000228093854597877
0.54	-0.000115906145402134
0.54	0.000493093854597948
0.55	-0.00258690614540202
0.55	-0.00131290614540203
0.55	-0.00139690614540211
0.55	-0.00209190614540211
0.55	-9.4906145402085e-05
0.55	-3.79061454021112e-05
0.55	-0.000342906145402111
0.55	8.9093854597877e-05
0.55	-0.000249906145402101
0.55	0.000303093854597924
0.56	-0.00281990614540206
0.56	-0.00144790614540213
0.56	-0.00150290614540205
0.56	-0.00220790614540212
0.56	-0.000206906145402086
0.56	-0.000169906145402132
0.56	-0.000423906145402109
0.56	-9.19061454021097e-05
0.56	-0.000430906145402088
0.56	0.000267093854597888
0.57	-0.00289890614540211
0.57	-0.00149890614540205
0.57	-0.00166090614540204
0.57	-0.00232390614540212
0.57	-0.000337906145402078
0.57	-0.00032990614540207
0.57	-0.000625906145402033
0.57	-0.000287906145402084
0.57	-0.000607906145402071
0.57	0.000220093854597869
0.58	-0.00305790614540202
0.58	-0.0016359061454021
0.58	-0.00184390614540209
0.58	-0.00241090614540207
0.58	-0.00054190614540206
0.58	-0.000485906145402115
0.58	-0.000836906145402105
0.58	-0.000414906145402072
0.58	-0.000690906145402126
0.58	0.000108093854597868
0.59	-0.00311590614540203
0.59	-0.00170990614540212
0.59	-0.00197090614540207
0.59	-0.00248190614540211
0.59	-0.000679906145402032
0.59	-0.000632906145402123
0.59	-0.000998906145402101
0.59	-0.000465906145402095
0.59	-0.00084690614540206
0.59	-3.79061454021112e-05
